"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 22 18:06:59 GMT 2021","Sun Aug 22 18:06:59 GMT 2021","149","","tests.WikipediaTests","","tests.WikipediaTests","newPage","newPage()",""
"broken","Sun Aug 22 18:06:59 GMT 2021","Sun Aug 22 18:06:59 GMT 2021","151","","tests.WikipediaTests","","tests.WikipediaTests","logInValidTest","logInValidTest()",""
"broken","Sun Aug 22 18:06:59 GMT 2021","Sun Aug 22 18:06:59 GMT 2021","158","","tests.WikipediaTests","","tests.WikipediaTests","PrivacyPolicyTest","PrivacyPolicyTest()",""
"broken","Sun Aug 22 18:06:58 GMT 2021","Sun Aug 22 18:06:59 GMT 2021","204","","tests.WikipediaTests","","tests.WikipediaTests","logInInValidTest","logInInValidTest()",""
"broken","Sun Aug 22 18:06:56 GMT 2021","Sun Aug 22 18:06:58 GMT 2021","1845","","tests.WikipediaTests","","tests.WikipediaTests","addShowListTest","addShowListTest()",""
"broken","Sun Aug 22 18:06:59 GMT 2021","Sun Aug 22 18:06:59 GMT 2021","137","","tests.WikipediaTests","","tests.WikipediaTests","logOutTest","logOutTest()",""
