"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 24 19:32:57 GMT 2021","Tue Aug 24 19:33:03 GMT 2021","6044","","tests.WikipediaTests","","tests.WikipediaTests","deletePage","TC-8, Data delete.",""
"passed","Tue Aug 24 19:32:40 GMT 2021","Tue Aug 24 19:32:50 GMT 2021","9473","","tests.WikipediaTests","","tests.WikipediaTests","writeToFile","TC-9, Save data to file.",""
"broken","Tue Aug 24 19:33:03 GMT 2021","Tue Aug 24 19:33:29 GMT 2021","25747","","tests.WikipediaTests","","tests.WikipediaTests","newPage","TC-6, Data entry.",""
"passed","Tue Aug 24 19:31:03 GMT 2021","Tue Aug 24 19:31:08 GMT 2021","5068","","tests.WikipediaTests","","tests.WikipediaTests","logOutTest","TC-3, Log out.",""
"broken","Tue Aug 24 19:32:50 GMT 2021","Tue Aug 24 19:32:57 GMT 2021","7059","","tests.WikipediaTests","","tests.WikipediaTests","editPage","TC-7, Data edit.",""
"passed","Tue Aug 24 19:30:54 GMT 2021","Tue Aug 24 19:30:57 GMT 2021","2667","","tests.WikipediaTests","","tests.WikipediaTests","logInInValidTest","TC-2, Log in with invalid datas.",""
"passed","Tue Aug 24 19:30:57 GMT 2021","Tue Aug 24 19:31:03 GMT 2021","5860","","tests.WikipediaTests","","tests.WikipediaTests","PrivacyPolicyTest","TC-4, Privacy and policy.",""
"passed","Tue Aug 24 19:31:34 GMT 2021","Tue Aug 24 19:32:40 GMT 2021","66130","","tests.WikipediaTests","","tests.WikipediaTests","morePagesListsTest","TC-11, Multi-page list",""
"passed","Tue Aug 24 19:33:29 GMT 2021","Tue Aug 24 19:33:33 GMT 2021","4574","","tests.WikipediaTests","","tests.WikipediaTests","logInValidTest","TC-1, Log in with valid datas.",""
"passed","Tue Aug 24 19:30:44 GMT 2021","Tue Aug 24 19:30:54 GMT 2021","10277","","tests.WikipediaTests","","tests.WikipediaTests","dataListTest","TC-5, Listing data from a table.",""
"broken","Tue Aug 24 19:31:08 GMT 2021","Tue Aug 24 19:31:34 GMT 2021","26278","","tests.WikipediaTests","","tests.WikipediaTests","writeFromFile","TC-10, Write data from file.",""
