"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 24 11:44:47 GMT 2021","Tue Aug 24 11:45:13 GMT 2021","25905","","tests.WikipediaTests","","tests.WikipediaTests","newPage","TC-6, Data entry.",""
"passed","Tue Aug 24 11:43:48 GMT 2021","Tue Aug 24 11:43:56 GMT 2021","7907","","tests.WikipediaTests","","tests.WikipediaTests","PrivacyPolicyTest","TC-4, Privacy and policy.",""
"passed","Tue Aug 24 11:44:28 GMT 2021","Tue Aug 24 11:44:35 GMT 2021","6602","","tests.WikipediaTests","","tests.WikipediaTests","writeToFile","TC-9, Save data to file.",""
"passed","Tue Aug 24 11:45:13 GMT 2021","Tue Aug 24 11:45:19 GMT 2021","6816","","tests.WikipediaTests","","tests.WikipediaTests","logInValidTest","TC-1, Log in with valid datas.",""
"passed","Tue Aug 24 11:43:56 GMT 2021","Tue Aug 24 11:44:01 GMT 2021","5311","","tests.WikipediaTests","","tests.WikipediaTests","logOutTest","TC-3, Log out.",""
"broken","Tue Aug 24 11:44:01 GMT 2021","Tue Aug 24 11:44:28 GMT 2021","27189","","tests.WikipediaTests","","tests.WikipediaTests","writeFromFile","TC-10, Write data from file.",""
"passed","Tue Aug 24 11:43:45 GMT 2021","Tue Aug 24 11:43:48 GMT 2021","3088","","tests.WikipediaTests","","tests.WikipediaTests","logInInValidTest","TC-2, Log in with invalid datas.",""
"broken","Tue Aug 24 11:44:35 GMT 2021","Tue Aug 24 11:44:41 GMT 2021","5927","","tests.WikipediaTests","","tests.WikipediaTests","editPage","TC-7, Data edit.",""
"passed","Tue Aug 24 11:43:26 GMT 2021","Tue Aug 24 11:43:45 GMT 2021","18584","","tests.WikipediaTests","","tests.WikipediaTests","dataListTest","TC-5, Listing data from a table.",""
"broken","Tue Aug 24 11:44:41 GMT 2021","Tue Aug 24 11:44:47 GMT 2021","5760","","tests.WikipediaTests","","tests.WikipediaTests","deletePage","TC-8, Data delete.",""
