"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 17:34:32 GMT 2021","Tue Aug 24 17:34:38 GMT 2021","6303","","tests.WikipediaTests","","tests.WikipediaTests","PrivacyPolicyTest","TC-4, Privacy and policy.",""
"passed","Tue Aug 24 17:37:05 GMT 2021","Tue Aug 24 17:37:09 GMT 2021","4734","","tests.WikipediaTests","","tests.WikipediaTests","logInValidTest","TC-1, Log in with valid datas.",""
"broken","Tue Aug 24 17:34:45 GMT 2021","Tue Aug 24 17:35:13 GMT 2021","27787","","tests.WikipediaTests","","tests.WikipediaTests","writeFromFile","TC-10, Write data from file.",""
"passed","Tue Aug 24 17:34:29 GMT 2021","Tue Aug 24 17:34:32 GMT 2021","2975","","tests.WikipediaTests","","tests.WikipediaTests","logInInValidTest","TC-2, Log in with invalid datas.",""
"broken","Tue Aug 24 17:36:12 GMT 2021","Tue Aug 24 17:36:39 GMT 2021","26389","","tests.WikipediaTests","","tests.WikipediaTests","deletePage","TC-8, Data delete.",""
"passed","Tue Aug 24 17:35:13 GMT 2021","Tue Aug 24 17:35:40 GMT 2021","26464","","tests.WikipediaTests","","tests.WikipediaTests","morePagesListsTest","TC-11, Multi-page list",""
"passed","Tue Aug 24 17:35:40 GMT 2021","Tue Aug 24 17:35:46 GMT 2021","6676","","tests.WikipediaTests","","tests.WikipediaTests","writeToFile","TC-9, Save data to file.",""
"passed","Tue Aug 24 17:34:38 GMT 2021","Tue Aug 24 17:34:45 GMT 2021","6979","","tests.WikipediaTests","","tests.WikipediaTests","logOutTest","TC-3, Log out.",""
"broken","Tue Aug 24 17:35:46 GMT 2021","Tue Aug 24 17:36:12 GMT 2021","25843","","tests.WikipediaTests","","tests.WikipediaTests","editPage","TC-7, Data edit.",""
"passed","Tue Aug 24 17:34:09 GMT 2021","Tue Aug 24 17:34:29 GMT 2021","20159","","tests.WikipediaTests","","tests.WikipediaTests","dataListTest","TC-5, Listing data from a table.",""
"broken","Tue Aug 24 17:36:39 GMT 2021","Tue Aug 24 17:37:05 GMT 2021","26038","","tests.WikipediaTests","","tests.WikipediaTests","newPage","TC-6, Data entry.",""
