"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 19:23:36 GMT 2021","Tue Aug 24 19:24:42 GMT 2021","65769","","tests.WikipediaTests","","tests.WikipediaTests","morePagesListsTest","TC-11, Multi-page list",""
"passed","Tue Aug 24 19:22:45 GMT 2021","Tue Aug 24 19:22:54 GMT 2021","8546","","tests.WikipediaTests","","tests.WikipediaTests","dataListTest","TC-5, Listing data from a table.",""
"broken","Tue Aug 24 19:23:10 GMT 2021","Tue Aug 24 19:23:36 GMT 2021","26375","","tests.WikipediaTests","","tests.WikipediaTests","writeFromFile","TC-10, Write data from file.",""
"broken","Tue Aug 24 19:24:49 GMT 2021","Tue Aug 24 19:24:57 GMT 2021","8006","","tests.WikipediaTests","","tests.WikipediaTests","editPage","TC-7, Data edit.",""
"broken","Tue Aug 24 19:25:03 GMT 2021","Tue Aug 24 19:25:29 GMT 2021","25703","","tests.WikipediaTests","","tests.WikipediaTests","newPage","TC-6, Data entry.",""
"broken","Tue Aug 24 19:24:57 GMT 2021","Tue Aug 24 19:25:03 GMT 2021","5816","","tests.WikipediaTests","","tests.WikipediaTests","deletePage","TC-8, Data delete.",""
"passed","Tue Aug 24 19:22:54 GMT 2021","Tue Aug 24 19:22:57 GMT 2021","2525","","tests.WikipediaTests","","tests.WikipediaTests","logInInValidTest","TC-2, Log in with invalid datas.",""
"passed","Tue Aug 24 19:22:57 GMT 2021","Tue Aug 24 19:23:02 GMT 2021","5621","","tests.WikipediaTests","","tests.WikipediaTests","PrivacyPolicyTest","TC-4, Privacy and policy.",""
"passed","Tue Aug 24 19:25:29 GMT 2021","Tue Aug 24 19:25:36 GMT 2021","6652","","tests.WikipediaTests","","tests.WikipediaTests","logInValidTest","TC-1, Log in with valid datas.",""
"passed","Tue Aug 24 19:23:02 GMT 2021","Tue Aug 24 19:23:10 GMT 2021","7288","","tests.WikipediaTests","","tests.WikipediaTests","logOutTest","TC-3, Log out.",""
"passed","Tue Aug 24 19:24:42 GMT 2021","Tue Aug 24 19:24:49 GMT 2021","7656","","tests.WikipediaTests","","tests.WikipediaTests","writeToFile","TC-9, Save data to file.",""
