"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 24 19:05:57 GMT 2021","Tue Aug 24 19:06:23 GMT 2021","26405","","tests.WikipediaTests","","tests.WikipediaTests","newPage","TC-6, Data entry.",""
"broken","Tue Aug 24 19:04:03 GMT 2021","Tue Aug 24 19:04:32 GMT 2021","28325","","tests.WikipediaTests","","tests.WikipediaTests","writeFromFile","TC-10, Write data from file.",""
"passed","Tue Aug 24 19:03:49 GMT 2021","Tue Aug 24 19:03:56 GMT 2021","7492","","tests.WikipediaTests","","tests.WikipediaTests","PrivacyPolicyTest","TC-4, Privacy and policy.",""
"passed","Tue Aug 24 19:06:23 GMT 2021","Tue Aug 24 19:06:27 GMT 2021","4367","","tests.WikipediaTests","","tests.WikipediaTests","logInValidTest","TC-1, Log in with valid datas.",""
"passed","Tue Aug 24 19:03:28 GMT 2021","Tue Aug 24 19:03:45 GMT 2021","17194","","tests.WikipediaTests","","tests.WikipediaTests","dataListTest","TC-5, Listing data from a table.",""
"passed","Tue Aug 24 19:04:32 GMT 2021","Tue Aug 24 19:05:38 GMT 2021","66381","","tests.WikipediaTests","","tests.WikipediaTests","morePagesListsTest","TC-11, Multi-page list",""
"broken","Tue Aug 24 19:05:51 GMT 2021","Tue Aug 24 19:05:57 GMT 2021","5595","","tests.WikipediaTests","","tests.WikipediaTests","deletePage","TC-8, Data delete.",""
"broken","Tue Aug 24 19:05:44 GMT 2021","Tue Aug 24 19:05:51 GMT 2021","6694","","tests.WikipediaTests","","tests.WikipediaTests","editPage","TC-7, Data edit.",""
"passed","Tue Aug 24 19:05:38 GMT 2021","Tue Aug 24 19:05:44 GMT 2021","6337","","tests.WikipediaTests","","tests.WikipediaTests","writeToFile","TC-9, Save data to file.",""
"passed","Tue Aug 24 19:03:46 GMT 2021","Tue Aug 24 19:03:49 GMT 2021","3042","","tests.WikipediaTests","","tests.WikipediaTests","logInInValidTest","TC-2, Log in with invalid datas.",""
"passed","Tue Aug 24 19:03:56 GMT 2021","Tue Aug 24 19:04:03 GMT 2021","7271","","tests.WikipediaTests","","tests.WikipediaTests","logOutTest","TC-3, Log out.",""
