"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 11:14:46 GMT 2021","Mon Aug 23 11:14:46 GMT 2021","189","","tests.WikipediaTests","","tests.WikipediaTests","logInValidTest","TC-1, Log in with valid datas.",""
"broken","Mon Aug 23 11:14:44 GMT 2021","Mon Aug 23 11:14:45 GMT 2021","255","","tests.WikipediaTests","","tests.WikipediaTests","PrivacyPolicyTest","TC-4, Privacy and policy.",""
"broken","Mon Aug 23 11:14:45 GMT 2021","Mon Aug 23 11:14:45 GMT 2021","162","","tests.WikipediaTests","","tests.WikipediaTests","logOutTest","TC-3, Log out.",""
"broken","Mon Aug 23 11:14:45 GMT 2021","Mon Aug 23 11:14:45 GMT 2021","197","","tests.WikipediaTests","","tests.WikipediaTests","writeFromFile","TC-10, Write data from file.",""
"broken","Mon Aug 23 11:14:45 GMT 2021","Mon Aug 23 11:14:45 GMT 2021","226","","tests.WikipediaTests","","tests.WikipediaTests","writeToFile","TC-9, Save data to file.",""
"broken","Mon Aug 23 11:14:44 GMT 2021","Mon Aug 23 11:14:44 GMT 2021","245","","tests.WikipediaTests","","tests.WikipediaTests","logInInValidTest","TC-2, Log in with invalid datas.",""
"broken","Mon Aug 23 11:14:46 GMT 2021","Mon Aug 23 11:14:46 GMT 2021","226","","tests.WikipediaTests","","tests.WikipediaTests","deletePage","TC-8, Data delete.",""
"broken","Mon Aug 23 11:14:45 GMT 2021","Mon Aug 23 11:14:46 GMT 2021","163","","tests.WikipediaTests","","tests.WikipediaTests","editPage","TC-7, Data edit.",""
"broken","Mon Aug 23 11:14:38 GMT 2021","Mon Aug 23 11:14:44 GMT 2021","6351","","tests.WikipediaTests","","tests.WikipediaTests","dataListTest","TC-5, Listing data from a table.",""
"broken","Mon Aug 23 11:14:46 GMT 2021","Mon Aug 23 11:14:46 GMT 2021","227","","tests.WikipediaTests","","tests.WikipediaTests","newPage","TC-6, Data entry.",""
