"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 19:57:53 GMT 2021","Tue Aug 24 19:57:59 GMT 2021","5346","","tests.WikipediaTests","","tests.WikipediaTests","logOutTest","TC-3, Log out.",""
"broken","Tue Aug 24 20:00:01 GMT 2021","Tue Aug 24 20:00:27 GMT 2021","26002","","tests.WikipediaTests","","tests.WikipediaTests","newPage","TC-6, Data entry.",""
"passed","Tue Aug 24 19:57:48 GMT 2021","Tue Aug 24 19:57:53 GMT 2021","5242","","tests.WikipediaTests","","tests.WikipediaTests","PrivacyPolicyTest","TC-4, Privacy and policy.",""
"passed","Tue Aug 24 19:59:39 GMT 2021","Tue Aug 24 19:59:46 GMT 2021","6973","","tests.WikipediaTests","","tests.WikipediaTests","writeToFile","TC-9, Save data to file.",""
"broken","Tue Aug 24 19:59:46 GMT 2021","Tue Aug 24 19:59:54 GMT 2021","7170","","tests.WikipediaTests","","tests.WikipediaTests","editPage","TC-7, Data edit.",""
"passed","Tue Aug 24 19:57:45 GMT 2021","Tue Aug 24 19:57:48 GMT 2021","2899","","tests.WikipediaTests","","tests.WikipediaTests","logInInValidTest","TC-2, Log in with invalid datas.",""
"passed","Tue Aug 24 19:57:35 GMT 2021","Tue Aug 24 19:57:45 GMT 2021","9795","","tests.WikipediaTests","","tests.WikipediaTests","dataListTest","TC-5, Listing data from a table.",""
"passed","Tue Aug 24 19:58:25 GMT 2021","Tue Aug 24 19:59:39 GMT 2021","74221","","tests.WikipediaTests","","tests.WikipediaTests","morePagesListsTest","TC-11, Multi-page list",""
"passed","Tue Aug 24 20:00:27 GMT 2021","Tue Aug 24 20:00:32 GMT 2021","4725","","tests.WikipediaTests","","tests.WikipediaTests","logInValidTest","TC-1, Log in with valid datas.",""
"broken","Tue Aug 24 19:59:54 GMT 2021","Tue Aug 24 20:00:01 GMT 2021","7159","","tests.WikipediaTests","","tests.WikipediaTests","deletePage","TC-8, Data delete.",""
"broken","Tue Aug 24 19:57:59 GMT 2021","Tue Aug 24 19:58:25 GMT 2021","26428","","tests.WikipediaTests","","tests.WikipediaTests","writeFromFile","TC-10, Write data from file.",""
