"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 20:48:03 GMT 2021","Tue Aug 24 20:48:10 GMT 2021","7399","","tests.WikipediaTests","","tests.WikipediaTests","PrivacyPolicyTest","TC-4, Privacy and policy.",""
"passed","Tue Aug 24 20:49:53 GMT 2021","Tue Aug 24 20:50:00 GMT 2021","6442","","tests.WikipediaTests","","tests.WikipediaTests","writeToFile","TC-9, Save data to file.",""
"passed","Tue Aug 24 20:48:42 GMT 2021","Tue Aug 24 20:49:53 GMT 2021","71317","","tests.WikipediaTests","","tests.WikipediaTests","morePagesListsTest","TC-11, Multi-page list",""
"passed","Tue Aug 24 20:48:10 GMT 2021","Tue Aug 24 20:48:16 GMT 2021","5369","","tests.WikipediaTests","","tests.WikipediaTests","logOutTest","TC-3, Log out.",""
"broken","Tue Aug 24 20:50:00 GMT 2021","Tue Aug 24 20:50:05 GMT 2021","5729","","tests.WikipediaTests","","tests.WikipediaTests","editPage","TC-7, Data edit.",""
"passed","Tue Aug 24 20:48:00 GMT 2021","Tue Aug 24 20:48:03 GMT 2021","2841","","tests.WikipediaTests","","tests.WikipediaTests","logInInValidTest","TC-2, Log in with invalid datas.",""
"passed","Tue Aug 24 20:50:36 GMT 2021","Tue Aug 24 20:50:43 GMT 2021","6538","","tests.WikipediaTests","","tests.WikipediaTests","logInValidTest","TC-1, Log in with valid datas.",""
"broken","Tue Aug 24 20:50:11 GMT 2021","Tue Aug 24 20:50:36 GMT 2021","25451","","tests.WikipediaTests","","tests.WikipediaTests","newPage","TC-6, Data entry.",""
"broken","Tue Aug 24 20:50:05 GMT 2021","Tue Aug 24 20:50:11 GMT 2021","5578","","tests.WikipediaTests","","tests.WikipediaTests","deletePage","TC-8, Data delete.",""
"broken","Tue Aug 24 20:48:16 GMT 2021","Tue Aug 24 20:48:42 GMT 2021","26227","","tests.WikipediaTests","","tests.WikipediaTests","writeFromFile","TC-10, Write data from file.",""
"passed","Tue Aug 24 20:47:43 GMT 2021","Tue Aug 24 20:48:00 GMT 2021","17271","","tests.WikipediaTests","","tests.WikipediaTests","dataListTest","TC-5, Listing data from a table.",""
