"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 20:45:39 GMT 2021","Tue Aug 24 20:45:42 GMT 2021","2992","","tests.WikipediaTests","","tests.WikipediaTests","logInInValidTest","TC-2, Log in with invalid datas.",""
"broken","Tue Aug 24 20:48:26 GMT 2021","Tue Aug 24 20:48:32 GMT 2021","5971","","tests.WikipediaTests","","tests.WikipediaTests","deletePage","TC-8, Data delete.",""
"passed","Tue Aug 24 20:45:42 GMT 2021","Tue Aug 24 20:45:47 GMT 2021","5111","","tests.WikipediaTests","","tests.WikipediaTests","PrivacyPolicyTest","TC-4, Privacy and policy.",""
"passed","Tue Aug 24 20:48:14 GMT 2021","Tue Aug 24 20:48:21 GMT 2021","6448","","tests.WikipediaTests","","tests.WikipediaTests","writeToFile","TC-9, Save data to file.",""
"passed","Tue Aug 24 20:49:00 GMT 2021","Tue Aug 24 20:49:04 GMT 2021","4328","","tests.WikipediaTests","","tests.WikipediaTests","logInValidTest","TC-1, Log in with valid datas.",""
"passed","Tue Aug 24 20:45:47 GMT 2021","Tue Aug 24 20:45:52 GMT 2021","5272","","tests.WikipediaTests","","tests.WikipediaTests","logOutTest","TC-3, Log out.",""
"passed","Tue Aug 24 20:46:16 GMT 2021","Tue Aug 24 20:48:14 GMT 2021","118418","","tests.WikipediaTests","","tests.WikipediaTests","morePagesListsTest","TC-11, Multi-page list",""
"passed","Tue Aug 24 20:45:25 GMT 2021","Tue Aug 24 20:45:39 GMT 2021","13068","","tests.WikipediaTests","","tests.WikipediaTests","dataListTest","TC-5, Listing data from a table.",""
"broken","Tue Aug 24 20:45:52 GMT 2021","Tue Aug 24 20:46:16 GMT 2021","23581","","tests.WikipediaTests","","tests.WikipediaTests","writeFromFile","TC-10, Write data from file.",""
"broken","Tue Aug 24 20:48:21 GMT 2021","Tue Aug 24 20:48:26 GMT 2021","5579","","tests.WikipediaTests","","tests.WikipediaTests","editPage","TC-7, Data edit.",""
"broken","Tue Aug 24 20:48:32 GMT 2021","Tue Aug 24 20:49:00 GMT 2021","27892","","tests.WikipediaTests","","tests.WikipediaTests","newPage","TC-6, Data entry.",""
